2023-06-12 08:48:21,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-12 08:48:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:21"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-12 08:48:21,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-12 08:48:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:21"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-12 08:48:21,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-12 08:48:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:21"},"success":true}
2023-06-12 08:48:21,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-12 08:48:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:21"},"success":true}
2023-06-12 08:48:21,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-12 08:48:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:21"},"success":true}
2023-06-12 08:48:21,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-12 08:48:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:21"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-12 08:48:21,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-12 08:48:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:21"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
2023-06-12 08:48:21,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-12 08:48:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:21"},"success":true}
2023-06-12 08:48:21,WARNING,{"event":"SecurityAuthenticationSuccessfulEvent","event-time":"2023-06-12 08:48:21","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:21"},"success":true}
2023-06-12 08:48:24,WARNING,{"event":"SecurityPermissionCheckSuccessfulEvent","event-time":"2023-06-12 08:48:24","security-identity":{"name":"d7b0d820-1f0d-4fef-9c04-124eab890106","creation-time":"2023-06-12 08:48:24"},"success":true,"permission":{"type":"org.wildfly.security.auth.permission.LoginPermission","actions":"","name":""}}
